number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_l2_reg,params_latent_dim,params_learning_rate,user_attrs_best_epoch,user_attrs_best_val_loss,user_attrs_epochs_trained,user_attrs_val_error_mean,user_attrs_val_error_p95,user_attrs_val_error_p99,user_attrs_val_error_p99_5,user_attrs_val_error_std,state
0,1.5158367156982422,2026-07-04 21:39:21.206753,2026-07-04 21:47:12.308843,0 days 00:07:51.102090,0.1,1e-06,8,0.00018410729205738696,98,0.08908647298812866,100,0.0883694738149643,0.3204083740711212,1.5158367156982422,2.4467849731445312,0.3940109610557556,COMPLETE
1,0.7511439919471741,2026-07-04 21:47:12.310518,2026-07-04 21:54:24.479348,0 days 00:07:12.168830,0.05,1e-06,16,0.0005418282319533242,87,0.04267683997750282,97,0.0418560691177845,0.1419477015733719,0.7511439919471741,1.0966339111328125,0.20126883685588837,COMPLETE
2,0.7930589914321899,2026-07-04 21:54:24.481056,2026-07-04 22:01:42.979007,0 days 00:07:18.497951,0.05,0.0,12,0.00012897950480855554,99,0.052951354533433914,100,0.05295133963227272,0.19023455679416656,0.7930589914321899,1.2930952310562134,0.25118589401245117,COMPLETE
3,2.106131076812744,2026-07-04 22:01:42.981089,2026-07-04 22:08:44.847673,0 days 00:07:01.866584,0.15,0.0,8,0.00033852267834519784,88,0.10935815423727036,98,0.10935816913843155,0.37855443358421326,2.106131076812744,3.309534788131714,0.5044005513191223,COMPLETE
4,0.6278550028800964,2026-07-04 22:08:44.849915,2026-07-04 22:15:38.568291,0 days 00:06:53.718376,0.05,0.0001,16,0.00045745782054754043,95,0.06368568539619446,100,0.041008006781339645,0.13473229110240936,0.6278550028800964,1.015488862991333,0.20437951385974884,COMPLETE
5,0.6409523487091064,2026-07-04 22:15:38.570655,2026-07-04 22:21:42.632402,0 days 00:06:04.061747,0.05,0.0,16,0.0015882886211970053,78,0.03439219295978546,88,0.03439219295978546,0.10951833426952362,0.6409523487091064,0.9040770530700684,0.16707062721252441,COMPLETE
6,2.2310144901275635,2026-07-04 22:21:42.635001,2026-07-04 22:26:32.144463,0 days 00:04:49.509462,0.15,0.0,12,0.00321623546920742,60,0.10713064670562744,70,0.10713064670562744,0.2906574308872223,2.2310144901275635,4.4309258460998535,0.5547720789909363,COMPLETE
7,0.6914857029914856,2026-07-04 22:26:32.147027,2026-07-04 22:33:09.761975,0 days 00:06:37.614948,0.05,1e-05,16,0.00034204353211648276,86,0.04643765091896057,96,0.04114758223295212,0.13373713195323944,0.6914857029914856,1.0020344257354736,0.19713786244392395,COMPLETE
8,2.7281765937805176,2026-07-04 22:33:09.764169,2026-07-04 22:40:03.075443,0 days 00:06:53.311274,0.2,0.0001,4,0.0023196088229293613,99,0.16115041077136993,100,0.13493144512176514,0.4561251103878021,2.7281765937805176,4.113490104675293,0.6342976689338684,COMPLETE
9,1.9578611850738525,2026-07-04 22:40:03.078263,2026-07-04 22:46:47.693265,0 days 00:06:44.615002,0.15,0.0001,8,0.0005118807219845018,83,0.12798772752285004,93,0.10369879752397537,0.35545647144317627,1.9578611850738525,2.84458327293396,0.46310800313949585,COMPLETE
