number,value,datetime_start,datetime_complete,duration,params_batch_norm,params_dropout_rate,params_l2_reg,params_latent_dim,params_learning_rate,user_attrs_best_epoch,user_attrs_best_val_loss,user_attrs_epochs_trained,user_attrs_val_error_mean,user_attrs_val_error_p99,user_attrs_val_error_std,state
0,1.686356544494629,2026-07-04 10:59:49.981167,2026-07-04 11:00:25.069670,0 days 00:00:35.088503,True,0.011616722433639893,8.661761457749353e-05,12,0.00018408992080552527,100,0.18840910494327545,100,0.16450181603431702,1.686356544494629,0.6071314811706543,COMPLETE
1,1.588832974433899,2026-07-04 11:00:25.074020,2026-07-04 11:00:51.581390,0 days 00:00:26.507370,False,0.06084844859190755,5.2475643163223785e-05,12,0.0002049268011541737,100,0.15642793476581573,100,0.14231495559215546,1.588832974433899,0.4962857961654663,COMPLETE
2,0.5734608173370361,2026-07-04 11:00:51.583973,2026-07-04 11:01:18.483443,0 days 00:00:26.899470,False,0.03993475643167195,5.1423443841361164e-05,8,0.0021576967455896826,98,0.06233448162674904,100,0.05060473084449768,0.5734608173370361,0.16591252386569977,COMPLETE
3,0.5326326489448547,2026-07-04 11:01:18.487428,2026-07-04 11:01:45.092916,0 days 00:00:26.605488,False,0.06092275383467414,9.767211400638387e-06,32,0.0023628864184236428,100,0.04752989858388901,100,0.044007204473018646,0.5326326489448547,0.12164332717657089,COMPLETE
4,0.6198503971099854,2026-07-04 11:01:45.095511,2026-07-04 11:02:11.881906,0 days 00:00:26.786395,False,0.06234221521788219,5.200680211778109e-05,24,0.0013353819088790589,94,0.06739471852779388,100,0.054199859499931335,0.6198503971099854,0.13579049706459045,COMPLETE
5,0.5246922969818115,2026-07-04 11:02:11.884591,2026-07-04 11:02:48.166157,0 days 00:00:36.281566,True,0.0176985004103839,1.959828624191452e-05,8,0.0036832964384234204,90,0.04906367510557175,100,0.04363037645816803,0.5246922969818115,0.12889227271080017,COMPLETE
6,0.7189577221870422,2026-07-04 11:02:48.169322,2026-07-04 11:03:24.682275,0 days 00:00:36.512953,True,0.02818484499495253,8.021969807540397e-05,16,0.0008356499023325525,100,0.07834960520267487,100,0.05950728803873062,0.7189577221870422,0.15203961730003357,COMPLETE
7,1.0015370845794678,2026-07-04 11:03:24.685743,2026-07-04 11:03:53.137173,0 days 00:00:28.451430,False,0.15425406933718916,7.404465173409036e-06,24,0.001732053535845956,100,0.08891000598669052,100,0.08611571043729782,1.0015370845794678,0.22214360535144806,COMPLETE
8,1.8639781475067139,2026-07-04 11:03:53.139952,2026-07-04 11:04:21.748792,0 days 00:00:28.608840,False,0.1459212356676128,6.375574713552131e-05,8,0.00035684261232554244,100,0.1906861662864685,100,0.1758538782596588,1.8639781475067139,0.6914604902267456,COMPLETE
9,1.0784912109375,2026-07-04 11:04:21.751718,2026-07-04 11:04:59.696692,0 days 00:00:37.944974,True,0.10454656587639882,4.2754101835854966e-05,32,0.0006901506581791928,100,0.10290171205997467,100,0.09125282615423203,1.0784912109375,0.22644567489624023,COMPLETE
