number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,state
0,6.396238803863525,2026-06-30 13:26:46.967136,2026-06-30 13:26:47.502104,0 days 00:00:00.534968,euclidean,81,COMPLETE
1,6.219035625457764,2026-06-30 13:26:47.502327,2026-06-30 13:26:48.075221,0 days 00:00:00.572894,euclidean,124,COMPLETE
2,6.401259422302246,2026-06-30 13:26:48.075437,2026-06-30 13:26:48.461562,0 days 00:00:00.386125,euclidean,21,COMPLETE
3,11.106764793395996,2026-06-30 13:26:48.461862,2026-06-30 13:26:50.080619,0 days 00:00:01.618757,manhattan,145,COMPLETE
4,6.336899280548096,2026-06-30 13:26:50.080862,2026-06-30 13:26:50.694975,0 days 00:00:00.614113,euclidean,168,COMPLETE
5,14.345356941223145,2026-06-30 13:26:50.695204,2026-06-30 13:26:52.176759,0 days 00:00:01.481555,manhattan,45,COMPLETE
6,9.319123268127441,2026-06-30 13:26:52.176976,2026-06-30 13:26:53.765291,0 days 00:00:01.588315,manhattan,92,COMPLETE
7,9.434052467346191,2026-06-30 13:26:53.765504,2026-06-30 13:26:55.234739,0 days 00:00:01.469235,manhattan,36,COMPLETE
8,6.632876396179199,2026-06-30 13:26:55.234965,2026-06-30 13:26:55.765616,0 days 00:00:00.530651,euclidean,97,COMPLETE
9,6.814427375793457,2026-06-30 13:26:55.765849,2026-06-30 13:26:56.319866,0 days 00:00:00.554017,euclidean,108,COMPLETE
